16.931275619790583,42123264,28049408,288
0,77942784,39849984,787
0,84824064,45428736,903
0.7824192473231998,75444224,35282944,981
0,77672448,36220928,964
0,77647872,36212736,964
0,80654336,39243776,964
1.5624131298299815,77844480,36519936,963
0,78045184,36143104,963
0.7811218960090546,78131200,36052992,952
0.7873397580929457,78241792,36048896,953
1.5672374453498032,78323712,36085760,952
0,78360576,36098048,952
0,78405632,36143104,952
0,78426112,36126720,952
0,78331904,35815424,945
0.777798596507856,78327808,35725312,945
0,77414400,35532800,937
0,77443072,35516416,936
0,77492224,35520512,936
